PMID,Sentence
12940507,"TP deficiency alters the metabolism of the nucleosides thymidine and deoxyuridine, which, in turn, produces abnormalities of mitochondrial DNA (mtDNA) including depletion, deletions, and point mutations."
12940507,MNGIE is the best characterized of the expanding number of mitochondrial disorders caused by alterations in the metabolism of nucleosides/nucleotides.
12940507,"Because mitochondria contain their own machinery for nucleoside and nucleotide metabolism and have physically separate nucleotide pools, it is not surprising that disorders of these pathways cause human diseases."
12940507,Other diseases in this group include mtDNA depletion syndromes caused by mutations on the nuclear genes encoding the mitochondrial thymidine kinase and deoxyguanosine kinase; autosomal dominant progressive external ophthalmoplegia with multiple deletions of mtDNA due to mutations in the genes encoding the muscle-isoform of mitochondrial ADP/ATP translocator; and mitochondrial DNA depletion due to toxicities of nucleoside analogues.
12940507,"Mutations in the deoxynucleotide carrier, a transporter of deoxynucleoside diphosphates, have been identified as a cause of congenital microcephaly."
33670344,"In normal rats, dependence of RDD on spinal GABAergic inhibitory function encompassed both GABAA and GABAB receptor sub-types."
33670344,"Administration of the GABAB receptor agonist baclofen restored RDD and alleviated indices of neuropathic pain in diabetic rats, as did spinal delivery of the carbonic anhydrase inhibitor acetazolamide."
31607482,The depression from PV neuron terminals is mainly mediated by presynaptic P/N type calcium channels.
30574067,"Propofol is a widely used intravenous sedative-hypnotic agent, which causes rapid and reliable loss of consciousness via activation of γ -aminobutyric acid A (GABAA) receptors."
30574067,The propofol-induced decrease in amplitude of PF-PC EPSCs was concentration-dependent.
30574067,"The half-inhibitory concentration (IC50) of propofol for inhibiting PF-PC EPSCs was 4.7 μM. Notably, the propofol-induced changes in amplitude and PPR of PF-PC EPSCs were abolished by GABAB receptor antagonist, saclofen (10 μM), but not blocked by N-methyl-D-aspartate receptor (NMDA) receptor antagonist, D-APV (50 μM)."
30574067,"Application of the GABAB receptor agonist baclofen induced a decrease in amplitude and an increase in PPR of PF-PC EPSCs, as well masked the propofol-induced changes in PF-PC EPSCs."
30574067,"Moreover, the propofol-induced changes in amplitude and PPR of PF-PC EPSCs were abolished by a specific protein kinase A (PKA) inhibitor, KT5720."
30574067,"These results indicate that application of propofol facilitates presynaptic GABAB receptors, resulting in a depression of PF-PC synaptic transmission via PKA signaling pathway in mouse cerebellar cortex."
35596053,"Based on a broad range of genetic backgrounds like single nucleotide polymorphism (SNPs), GBS is known as a novel technique to facilitate the detection of quantitative trait loci (QTL) regions robustly linked with interested traits compared to genome-wide association study (GWAS) and QTL."
35596053,"Therefore, this review portrays the current status of advances made by using GBS and its combination with other tools in various studies of cucumber such as the use of GBS and single nucleotide polymorphism (SNP) markers, GBS and GWAS, also with QTL and marker-assisted selection (MAS) are applied to display and detect explicit genetic architecture complex traits in crops and chromosome rearrangements."
23648914,"Recent genome-wide association studies have identified single nucleotide polymorphisms linked to RLS/PLMS, although none has a definite functional correlation."
31924157,"Distant effects via translocation rely on virulence factors of P. gingivalis such as gingipains, on its synergistic interactions with other pathogens, and on its capability to manipulate the immune system via several mechanisms, including its capacity to induce production of immune-downregulating micro-RNAs."
31924157,Possible targets for intervention and drug development to manage distal consequences of infection with P. gingivalis are also reviewed.
15199138,"In humans, a third copy of DYRK1A is present in Down syndrome (trisomy 21) and has been implicated in the etiology of mental retardation."
15199138,"To further understand this pathology, we searched for Dyrk1A-interacting proteins and identified Arip4 (androgen receptor-interacting protein 4), a SNF2-like steroid hormone receptor cofactor."
15199138,Mouse hippocampal and cerebellar neurons coexpress Dyrk1A and Arip4.
15199138,"Either Dyrk1A or Arip4 alone displays an activating effect on androgen receptor- and glucocorticoid receptor-mediated transactivation, and Dyrk1A and Arip4 together act synergistically."
15199138,Inhibition of endogenous Dyrk1A and Arip4 expression by RNA interference showed that both proteins are necessary for the efficient activation of androgen receptor- and glucocorticoid receptor-dependent transcription.
15199138,"As Dyrk1A is an activator of steroid hormone-regulated transcription, the overexpression of DYRK1A in persons with Down syndrome may cause rather broad changes in the homeostasis of steroid hormone-controlled cellular events."
19876857,"Extracts of the bark of the central African tree Pausinystalia yohimbe contain yohimbine, an indole alkaloid, which is used to treat erectile dysfunction."
19876857,"The reported side effects of over-the-counter preparations of yohimbine include gastrointestinal upset, anxiety, increased blood pressure, headache, agitation, rash, tachycardia, and frequent urination."
19876857,"In this report, we describe a severe case of intractable priapism associated with the ingestion of yohimbe extract."
35461848,"Batch experiments resulted in an optimum dye removal of 92.72% at a pH of 8, 1 g/L of CP-HAp nps dosage, 20 ppm AB113 concentration, 120 min contact time, 150 rpm agitation speed and at room temperature."
12401745,To determine psychological and behavioral correlates of baseline BMI in the Diabetes Prevention Program (DPP).
35128560,This study examined the association between opioid analgesic prescription initiation and suicidal behavior among young people.
1745441,"The consequences of 3,3'-iminodipropionitrile (IDPN) exposure in animals merits attention both because of its unique neurotoxic effects and as a potential model compound of human dyskinetic disorders."
1745441,An important question that remains to be determined is whether IDPN itself or a putative active metabolite is responsible for the neurotoxic actions of the chemical in vivo.
1745441,The present work tested the hypothesis that IDPN must be metabolized by the liver to an active metabolite to become neurotoxic.
1745441,"Animals receiving IDPN2 alone displayed the overt behavioral signs characteristic of IDPN intoxication (postural disturbances, head dyskinesias, backward walking, circling, increased motor activity, and decreased startle response)."
1745441,"In conclusion, pretreatment with hepatotoxic dosages of CCl4 leads to increased toxicity of IDPN."
34834493,"CFD has been associated with autism spectrum disorders (ASD) and is treated with d,l-leucovorin (folinic acid)."
34834493,"A systematic review was performed to identify studies reporting FRAAs in association with ASD, or the use of d,l-leucovorin in the treatment of ASD."
34834493,The prevalence of FRAA in ASD was 71% without significant variation across studies.
34834493,Children with ASD were 19.03-fold more likely to be positive for a FRAA compared to typically developing children without an ASD sibling.
34834493,"For individuals with ASD and CFD, meta-analysis also found improvements with d,l-leucovorin in overall ASD symptoms (67%), irritability (58%), ataxia (88%), pyramidal signs (76%), movement disorders (47%), and epilepsy (75%)."
34834493,"Taken together, d,l-leucovorin is associated with improvements in core and associated symptoms of ASD and appears safe and generally well-tolerated, with the strongest evidence coming from the blinded, placebo-controlled studies."
31481903,"Background: People suffering from schizophrenia are notably vulnerable to cardiometabolic risk factors (CMRF), such as obesity, high blood pressure, hyperglycemia and insulin resistance, high serum triglycerides, and low serum high-density lipoprotein (HDL), which are related to increased mortality and decreased quality of life."
19505488,"The first reported human domoic acid poisoning event occurred in Canada in 1987 during which clinical signs of acute toxicity such as gastrointestinal distress, confusion, disorientation, memory loss, coma and death were observed."
19505488,The illness was named amnesic shellfish poisoning (ASP) and due to effective seafood monitoring programs there have been no documented ASP cases since 1987.
19505488,"However, domoic acid poisoning has a significant effect on marine wildlife and multiple poisoning events have occurred in marine birds and mammals over the last few decades."
9059995,"Domoic acid is a shellfish toxin which produces gastrointestinal distress, followed by neurological symptoms such as headache, confusion, disorientation and severe deficits in short-term memory."
9059995,"Domoic acid toxicity was measured in mice as the onset times for scratching behaviour, seizure activity, and death, after the intraperitoneal administration of domoic acid at different pH's."
9059995,"Results of the present study show that the scratching behaviour, seizure activity, and death, occurred at 12, 40, and 55 min, after intraperitoneal administration of domoic acid at pH 3.7."
9059995,"Domoic acid toxicity was lowest at pH 3.7, and highest at pH 7.4, with intermediate toxicity at other pH's."
9059995,"In contrast, the onset times for seizure activity, and death were significantly affected by pH of domoic acid, toxicity being higher at pH 7.4 than at pH 3.7."
9059995,It is concluded that in vivo toxicity of domoic acid varies depending on pH of the administered solution.
9059995,"The differential toxicity of domoic acid at different pH may be related to its solubility, rate of absorption, and elimination, depending on the degree of protonation of domoic acid molecule."
32821290,Wernicke encephalopathy (WE) and Wernicke-Korsakoff syndrome (WKS) are well-known disorders caused by thiamine deficiency.
889419,"Eight patients developed a syndrome marked by features of catatonia (including posturing, waxy flexibility, withdrawal and regression) and parkinsonism (including bradykinesia and rigidity) while receiving high-potency neuroleptic drugs."
19357321,L-DOPA-induced dyskinesia (LID) in Parkinson's disease has been linked to altered dopamine and glutamate transmission within the basal ganglia.
19357321,"In the present study, we compared compounds targeting specific subtypes of glutamate receptors or calcium channels for their ability to attenuate LID and the associated activation of striatal nuclear signaling and gene expression in the rat."
19357321,Dyskinesia and rotarod performance were monitored during chronic drug treatment.
19357321,"In the acute treatment studies, only MTEP and EMQMCM significantly attenuated L-DOPA-induced phospho-ERK1/2 and/or phospho-MSK-1 expression, with MTEP being the most effective (70-80% reduction)."
19357321,"In the chronic experiment, only MTEP significantly attenuated dyskinesia without adverse motor effects, whereas EMQMCM and LY379268 inhibited the L-DOPA-induced improvement in rotarod performance."
19357321,The NR2B antagonist had positive antiakinetic effects but did not reduce dyskinesia.
19357321,"Among the pharmacological treatments examined, MTEP was most effective in inhibiting LID and the associated molecular alterations."
11289407,"Delusional themes that are sensitive to sociocultural or political situations include guilt, love/sex, religion, somatic damage, economy/business and politics."
11289407,"Shanghai patients often had delusions of poisons, being prickled by poisoned needles, their brain and viscera extracted and being a family member of political authorities."
35569502,"Lithium is the most effective treatment for bipolar disorder, resulting in strong suicide prevention effects."
35398398,"The relationship between suicidality, COVID-19 risk perceptions, and guideline adherence was examined to inform potential barriers to the implementation of behavioral interventions aimed at preventing future pandemics."
29559264,"A novel type of antiviral agent for human cytomegalovirus (HCMV) is required, because the appearance of ganciclovir (GCV) resistant viruses has been reported."
29559264,"Moreover, 6F-tricin had no cytotoxicity against HEL cells at concentrations up to 10 μM. We further performed detailed analysis on the amino acid contributions to the binding energies and found that the strong binding affinity for 6F-tricin to CDK9 is attributed to the specific binding orientation of 6F-tricin in the ATP-binding site."
26921030,"In a subsequent step, using NA-VLP we characterize the kinetic and binding properties of substrate analogs and inhibitors of NA, including study of the H274Y-NA mutant, which leads to wide spread resistance to current influenza antivirals."
25613831,The lectin griffithsin (GRFT) is a potent antiviral agent capable of prevention and treatment of infections caused by a number of enveloped viruses and is currently under development as an anti-HIV microbicide.
25613831,"In addition to its broad antiviral activity, GRFT is stable at high temperature and at a broad pH range, displays little toxicity and immunogenicity, and is amenable to large-scale manufacturing."
25613831,"Previously, we have engineered and analyzed several monomeric forms of this lectin (mGRFT) with anti-HIV EC50 values ranging up to 323 nM. Based on our previous analysis of mGRFT, we hypothesized that the orientation and spacing of the carbohydrate binding domains GRFT were key to its antiviral activity."
11386980,Results of previous studies suggest that estrogen improves somatic and mild depressive symptoms experienced by perimenopausal women.
11386980,This study investigated the efficacy of 17beta-estradiol for the treatment of clinically significant depressive disorders in endocrinologically confirmed perimenopausal women.
28377232,We retrospectively assessed in-hospital major adverse clinical events (MACE) and major bleeding in patients undergoing percutaneous coronary intervention (PCI) who received either unfractionated heparin (UFH) or bivalirudin.
33360165,"A metabolome-wide association study showed that vanillin perturbed specific energy, amino acid, antioxidant and sphingolipid pathways previously associated with human disease."
30120064,"Because hop extracts are used as flavoring agents for their bitter properties, we hypothesized that bitter taste receptors (Tas2rs) could be mediating their beneficial effects in metabolic disease."
21329350,"Cinnamon polyphenol extract (CPE) may be important in the alleviation of chronic diseases, but the molecular evidence is not substantial."
21329350,"This study used quantitative real-time PCR to explore the effects of CPE on the regulation of TTP, VEGF, and related gene expression in mouse 3T3-L1 adipocytes."
21329350,"CPE (100 μg/mL) increased TTP mRNA levels by up to 10-fold, and this stimulation was sustained over 16 h. The levels of VEGF mRNA, a putative target of TTP, were decreased 40-50% by CPE."
21329350,"It also affected the expression of other genes coding for ZFP36L1 and ZFP36L3 (TTP homologues), GM-CSF, COX2, IL6, APP, G-CSF, and PAI1."
24795564,"Evidence that the visceral analgesic effects of linaclotide are mediated by a novel, GC-C-dependent peripheral sensory mechanism was first demonstrated in animal models of visceral pain."
24795564,"Subsequent studies with uroguanylin or linaclotide have confirmed the activation of a GC-C/cGMP pathway leading to increased submucosal cGMP mediated by cGMP efflux pumps, which modulates intestinal nociceptor function resulting in peripheral analgesia."
24795564,"In 2012, linaclotide was approved in the United States and European Union for the treatment of adult patients with irritable bowel syndrome with constipation."
33735393,"Nuclear factor erythroid 2-related factor 2 (Nrf2) is believed to be responsible for the control mechanisms of cellular defense response and master regulator of antioxidant system by adjustment of endogenous antioxidants, phase II detoxifying enzymes and transporters, so inhibition of Nrf2 could be considered molecule target to overcome drug resistance and cancer progression."
33735393,"Taking all the data into consideration, liposomes containing Quinacrine could ameliorate the effectiveness of Cisplatin by raising the permeability of cancer cells to the abovementioned chemical treatment and might be then given as a candidate to boost the therapeutic protocols in cancer patients."
34064568,Resveratrol is a phytoalexin produced by many plants as a defense mechanism against stress-inducing conditions.
34064568,Numerous in vitro and in vivo studies demonstrated beneficial effects of resveratrol in cardiovascular diseases (CVD).
34064568,"As resveratrol can alleviate the numerous factors associated with CVD, it has potential as a functional supplement to reduce COVID-19 illness severity in patients displaying poor prognosis due to cardio-vascular complications."
34064568,"Regular intake of a resveratrol rich diet, or resveratrol-based complementary medicaments, may contribute to a healthier cardio-vascular system, prevention and control of CVD, including COVID-19 disease related complications of CVD."
31685447,"In the Swiss veal calf production, antimicrobials and disinfectants are used to control bacterial infectious diseases, leading to a risk of selecting for a resistant bacterial population."
31685447,"While the prevalence of antibiotic resistance in E. coli from calves has been monitored at slaughterhouses in Switzerland since 2006, the resistance situation of E. coli from young calves entering the fattening period is not known."
31685447,Antibiotic and quaternary ammonium compound (QAC) resistance genes were identified using microarray and Polymerase Chain Reaction (PCR).
31685447,Resistance to more than 3 antibiotics was found in 40% of the isolates.
31685447,"Isolates exhibited resistance to tetracycline (57%) associated with the presence of tet genes (tet(A), (B), (E), (G)), to sulfonamides (61%) (sul1, sul2, sul3), ampicillin (56%) (blaTEM-1), trimethoprim (32%) (dfrA), phenicols (31%) (catA1, cmlA1, floR), gentamicin (27%) (ant(2"")-Ia, aac(3)-IVa, aac(3)-VIa), and cefotaxime (2%) (blaCTX-M-14 (ESBL))."
31685447,"In conclusion, antibiotic and QAC resistant E. coli are present in the gastrointestinal tract of young calves at the beginning of the fattening period, emphasizing the need for appropriate and reduced use of antibiotics and QAC-containing disinfectants in order to limit further selection of these bacteria during the fattening period."
10859702,"Prenatal levels of testosterone and oestrogen have been implicated in infertility, autism, dyslexia, migraine, stammering, immune dysfunction, myocardial infarction and breast cancer."
7775881,"Regarding the practices of the study subjects in relation to drug intake during pregnancy, it was observed that the majority of the sample (86%) took drugs without prescription such as vitamins and general tonics, antacids, analgesics, anti-emetics, sedatives and antibiotics to treat their minor or major complaints during pregnancy."
32654174,Dopamine agonist treatment may result in hypersexuality in men.
34323436,"Patients undergoing bariatric surgery present unique analgesic challenges, including poorly controlled pain, increased prevalence of obstructive sleep apnea, and opioid-induced respiratory depression."
34930854,"Phosphate is present in the 2, 3-diphosphoglycerate (2,3DPG) ester composition, which can shift the O2-Hb dissociation curve to the right."
9283087,"The low dissociation constant was confirmed by kinetic studies with a value of 0.16 microM. Specific [3H]-cGMP binding was inhibited by cAMP, cGMP, and cIMP with KD values of 0.22 microM, 0.09 microM, and 0.17 microM, respectively."
24200542,The PET/SPECT studies focusing on schizophrenia have shown reduced activity in fronto-temoral circuitry.
24200542,It is known that serotonin facilitates prefrontal inhibition and insufficient serotonergic activity may increase aggression levels.
24200542,"In addition mood stabilizers, affecting glutamatergic/gabaminergic balance, serve to the reduction of impulsive aggression, while lithium manifests positive effect on both suicidality and impulsive aggression."
23701164,"Aristolochic acid (AA), a plant nephrotoxin and carcinogen, causes aristolochic acid nephropathy (AAN) and its associated urothelial malignancy, and is hypothesized to be responsible for Balkan endemic nephropathy (BEN)."
23701164,"In human hepatic microsomes, AAI is activated by cytochrome P450 1A2 (CYP1A2) and, to a lesser extent, by CYP1A1; NADPH:CYP oxidoreductase also plays a minor role."
23701164,The orientation of AAI in the active sites of human CYP1A1/2 and NQO1 was predicted from molecular modeling and is consistent with the efficient reduction of AAI by them observed experimentally.
17851120,"Aristolochic acid (AA), a naturally occurring nephrotoxin and carcinogen, is associated with tumor development in patients suffering from Chinese herbs nephropathy (now termed aristolochic acid nephropathy, AAN) and may also be a cause for the development of a similar type of nephropathy, the Balkan endemic nephropathy (BEN)."
17851120,"Most of the activation of AA in human hepatic microsomes is mediated by cytochrome P450 (CYP) 1A2 and, to a lower extent, by CYP1A1; NADPH:CYP reductase plays a minor role."
17851120,In human renal microsomes NADPH:CYP reductase is more effective in AA activation.
17851120,"Prostaglandin H synthase (cyclooxygenase, COX) is another enzyme activating AA in human renal microsomes."
17851120,"Among the cytosolic reductases, NAD(P)H:quinone oxidoreductase (NQO1) is the most efficient in the activation of AA in human liver and kidney."
17851120,"The orientation of AA in the active sites of human CYP1A1, -1A2 and NQO1 was predicted from molecular modeling and explains the strong reductive potential of these enzymes for AA detected experimentally."
17851120,We hypothesized that inter-individual variations in expressions and activities of enzymes activating AA may be one of the causes responsible for the different susceptibilities to this carcinogen reflected in the development of AA-induced nephropathies and associated urothelial cancer.
16125300,"Aristolochic acid (AA), a naturally occurring nephrotoxin and carcinogen, has been associated with the development of urothelial cancer in humans."
16125300,The in silico docking of AAI to the active sites of CYP1A1 and 1A2 indicates that AAI binds as an axial ligand of the heme iron and that the nitro group of AAI is in close vicinity to the heme iron of CYP1A2 in an orientation allowing the efficient reduction of this group observed experimentally.
16125300,The orientation of AAI in the active centre of CYP1A1 however causes an interaction of the heme iron with both the nitro- and the carboxylic groups of AAI.
26170637,"Several stimulant medications, such as methylphenidate and amphetamine derivatives, are available to treat ADHD in pediatric patients."
26170637,"The XR formulation of guanfacine, compared with the immediate-release formulation, is more effective for the long-term management of ADHD and is associated with fewer adverse effects."
26170637,"The most common adverse effects associated with guanfacine XR are somnolence, fatigue, bradycardia, and hypotension."
26170637,Guanfacine XR is also labeled for use as an adjuvant to stimulant treatment for ADHD.
26170637,"A similar profile of adverse effects as reported with monotherapy is reported when guanfacine XR is ""added on"" to stimulant therapy with somnolence as the most commonly reported adverse event."
26170637,"This review discusses the clinical efficacy and patient preference of guanfacine XR based on available published data on the safety, relative effectiveness, and tolerance of this medication to treat ADHD."
31647906,"The gamma-aminobutyric acid type B (GABAB) receptor agonist, the sodium salt of gamma-hydroxybutyrate (GHB), significantly improved pain, sleep disturbance and fatigue in fibromyalgia (FM) patients."
31647906,"To clarify whether GABAB receptor positive allosteric modulator (PAM) approach would achieve analgesia with less side-effects than GABAB receptor agonist in FM, we investigated the potential of a novel GABAB receptor PAM, ASP8062, for FM treatment."
31647906,"We examined the in vitro profiles of ASP8062, the effects of a GABAB receptor PAM and an agonist on pain in a rat model of FM, and the sleep/wake cycle, EEG during sleep stages and motor coordination in rats."
31647906,Oral administration of ASP8062 significantly reversed the decrease in muscle pressure threshold in reserpine-induced myalgia rats.
31647906,"ASP8062 significantly decreased total REM sleep time and frequency of sleep interruptions, and increased the power in delta waves frequency during non-REM sleep in rats."
31647906,"ASP8062, a novel GABAB receptor PAM, has therapeutic potential to exert analgesic effects with less side-effects compared to GABAB receptor agonists in patients with FM."
35535373,"Some dietary approaches such as adequate intake of protein, vitamin D, antioxidant nutrients, and long-chain polyunsaturated fatty acid have been shown to have positive effects against sarcopenia."
35535373,"Currently, no specific drugs have been approved by the Food and Drug Administration for the treatment of sarcopenia."
35317992,Cell-membrane fluidity is a fundamental parameter in cold resistance.
35317992,"In both species the major class of membrane lipids were phosphatidylethanolamine (PE), reaching 93% in D. tonsa and 80% in P. branickii, followed by a minor relative amount of phosphatidylcholine (PC)."
35317992,"This study demonstrated that these species have a similar lipidome (e.g. relevant amount of PUFA and predominance of PE), but with relevant differences on which to base different membrane fluidity: (i) a higher unsaturation index and chain length of both PE and PC and a higher ratio PE/PC ratio in D. tonsa than in P. branickii; (ii) the absence of modifications in the lipid composition in D. tonsa under sub-zero temperature."
12075038,Consultation-liaison psychiatrists need to be well informed about pharmacodynamics and drug interactions in patients with physical/psychiatric comorbidity.
19602093,"Congo red absorption and siderophore production was recorded, but not so the suicide phenomenon or slime production."
19656582,"Renal and branchial clearance contributed little (combined, <3% of CL(B)) to the elimination of DCA."
19656582,"The pathway responsible for this activity exhibits characteristics in common with those of mammalian glutathione S-transferase zeta (GSTzeta), including non-linear kinetics and apparent suicide inactivation by DCA."
35237349,"Ustekinumab, a monoclonal antibody against interleukin (IL)-12 and IL-23 approved for the treatment of Crohn's disease, has shown to be an effective therapy with a favourable safety profile."
35237349,"We describe the case of a 48-year-old man with Crohn's disease who initiated treatment with ustekinumab on top of ongoing treatment with methotrexate 25 mg/week who presented with an acute-onset encephalopathy that rapidly evolved to severe tetraparesis and akinetic mutism, associated with extensive leukoencephalopathy and restricted diffusion on brain magnetic resonance imaging (MRI), 1 month after the second dose of ustekinumab."
35237349,"After drug discontinuation, the patient presented a complete clinical recovery despite the persistence of leukoencephalopathy."
34742696,Neuroleptic malignant syndrome (NMS) is a rare and potentially fatal drug adverse reaction.
35579393,"As there are no vaccines effective against HCMV and antiviral drugs exhibit toxicity and are undermined by resistant HCMV variants, other vulnerabilities in HCMV must be explored."
35134603,The loss of a neutral fragment at 282 Da by the fragmentation of the lactose moiety was observed in the tandem mass spectra of all the impurities.
35425430,"Vaccination is the main treatment strategy to prevent influenza infection, but antiviral drugs also play an important role in controlling seasonal and pandemic influenza."
35425430,"Currently, as influenza viruses may be developing antiviral resistance, new agents with different modes of action are being investigated."
35425430,Mechanistic investigation revealed that SeNPs inhibited the apoptosis induced by H1N1 virus infection in MDCK cells by improving the level of GPx1.
35425430,Our results suggest that SeNPs are an effective selenium source and a promising H1N1 influenza antiviral candidate.
1973272,"Systemic administration of selective NMDA antagonists, such as CPP, APH, ketamine and MK-801, increased spontaneous gastric motility of the rat in a dose-dependent manner, and they prevented the NMDA-evoked depression of gastric motility."
8269915,"We report the results of the first therapeutic trial of the competitive NMDA antagonist, D-CPP-ene (SDZ EAA-494), in eight patients with intractable complex partial seizures."
8269915,A further patient with apparent improvement in seizures in the first week developed complex partial status epilepticus on withdrawal of DCPP-ene.
8269915,Preliminary experience with DCPP-ene in patients with refractory partial seizures is not promising.
34776871,"The SARS-CoV-2 interactome has identified several antigens that may disrupt the blood-brain-barrier by inducing premature senescence in many cell types, including the cerebral endothelial cells."
34776871,This is supported by observing the beneficial effects of angiotensin receptor blockers and angiotensin converting enzyme inhibitors in both posttraumatic stress disorder and SARS-CoV-2 critical illness.
28472995,"Although some effects of gene-gene interactions on nicotine-dopamine metabolism for smoking behavior have been reported, polymorphisms of cytochrome P450 (CYP) 2A6 and catechol-O-methyltransferase (COMT) have not been studied together to determine their effects on smokers."
27490263,We aimed to investigate the interaction between dopamine pathway gene scores and nicotine dependence on smoking cessation in a rural Chinese male population.
14720019,"The pathophysiology of obstructive sleep apnea namely, normal respiration in waking with disordered breathing only in sleep, suggests that this disorder should be readily amenable to drug therapy."
14720019,"Serotonin delivery is reduced to upper airway dilator motor neurons in sleep, and this contributes, at least in part, to sleep-related reductions in dilator muscle activity and upper airway obstruction."
14720019,"These alterations will make finding drug therapies for sleep apnea more challenging, but not insurmountable."
14720019,Tryptophan was one of the first serotonergic drugs tested for OSAHS.
14720019,This drug was withdrawn from the market as a result of reports linking tryptophan use with eosinophilic myalgia syndrome and life-threatening pulmonary hypertension.
14720019,"Newer drugs with serotonergic activity tested in persons with sleep-disordered breathing include buspirone, fluoxetine and paroxetine."
14720019,Trials are presently being conducted to evaluate the effects of 5-HT(2A) and 5-HT(3) antagonists on OSAHS.
30198506,"Antimicrobial resistance (AMR) has rendered certain species of Mycobacterium difficult to treat clinically, particularly, the nontuberculous Mycobacterium, Mycobacterium abscessus."
31248181,The commercial antibiotics usage augments antibiotics resistance and creates higher recurrence rates of such communal infections.
33331691,"In recent decades, reduced antimicrobial effectiveness, increased bacterial infection, and newly emerged microbial resistance have become global public issues, leading to an urgent need to find effective strategies to counteract these problems."
33331691,"Strategies targeting bacterial virulence factors rather than bacterial survival have attracted increasing interest, since the modulation of virulence factors may prevent the development of drug resistance in bacteria."
33331691,"This review addresses the recent efforts of using spice essential oils to inhibit main bacterial virulence traits, including the quorum sensing system, biofilm formation, motility, and toxin production, with an intensive discussion of related mechanisms."
32306464,Obstructive sleep apnea syndrome (OSAS) is an important consequence of chronic intermittent hypoxia (CIH).
32306464,"However, whether AS-IV can attenuate CIH-induced myocardial injury is unclear."
32306464,Results showed that AS-IV attenuated cardiac dysfunction and histological lesions in CIH rats.
32306464,"Altogether, these findings indicate that AS-IV modulates Ca2+ homeostasis to inhibit apoptosis, protecting against CIH-induced myocardial injury eventually, suggesting it may be a potential agent for cardiac damage of OSAS patients."
32306464,"SIGNIFICANCE OF THE STUDY: Chronic intermittent hypoxia (CIH) is a great contributor of OSAS, which is closely associated with cardiovascular diseases."
32306464,It is necessary for developing a promising drug to attenuate CIH-induced myocardial injury.
32306464,"This work suggests that AS-IV can attenuate myocardial apoptosis and calcium disruption, thus protecting against CIH-induced myocardial injury."
31853217,This study aimed to clarify role of ROS- HIF-1α-MMPs pathway in the pathogenesis of AD and whether the HIF-1α inhibitor attenuates AD formation.
31853217,"To mimic the OSAS, one group was exposed to IH, which consisted of alternating cycles of 20.9% O2/8% O2 FiO2 (30 episodes per hour) with 20 s at the nadir FiO2 during the 12-h light phase, 2 weeks before Ang II infusion."
31853217,"IH treatment resulted in significant enlargement of the luminal area, destruction of the media, marked thickening of the adventitia, higher incidence of AD formation and lower survival rate in compared with the Ang II only group."
31853217,Conclusion: OSAS induced IH can promote the occurrence and progression of AD via a ROS- HIF-1α-MMPs associated pathway.
34811441,"Recent experiments indicate that certain fruits and vegetables, including onion, garlic, and beetroot, have anti-platelet potential and therefore may reduce the likelihood of CVDs."
30759176,"This mini-review evaluates the current literature on the relationship between the consumption of onion (Allium cepa L.), garlic (Allium sativum L.), tomato (Solanum lycopersicum L.), and beetroot (Beta vulgaris L.), and blood platelet activation, which may have important implications for the prophylaxis and treatment of cardiovascular disease."
35597331,"The reduced synthesis of ethylene in plants further relieves the ethylene inhibition of plant growth and development, and improves plant resistance to various stressors."
35596601,These results indicate that ZmFLRs are positively involved in broad-spectrum disease resistance in maize.
33753481,"While CXCR4 antagonists have potential anticancer effects when combined with conventional anticancer drugs, their poor potency against CXCL12/CXCR4 downstream signaling pathways and systemic toxicity had precluded clinical application."
30717348,"Former selective co-receptor antagonists, acting at early stages of infection, are able to impair the receptor functions, preventing the viral spread toward AIDS."
30717348,"Due to the capability of HIV to develop resistance by switching from CCR5 to CXCR4, dual co-receptor antagonists could represent the next generation of AIDS prophylaxis drugs."
35037045,"It is proposed that the fidelity of coronavirus (CoV) genome replication is aided by an RNA nuclease complex, comprising the non-structural proteins 14 and 10 (nsp14-nsp10), an attractive target for antiviral inhibition."
34580061,"Aldehyde dehydrogenase 1A1 (ALDH1A1) is a TIC marker in many cancers, including breast cancer."
34580061,"Mechanistically, ALDH1A1 decreased the intracellular pH in breast cancer cells to promote phosphorylation of TAK1, activate NFκB signaling, and increase the secretion of GM-CSF, which led to myeloid-derived suppressor cell expansion and immunosuppression."
34580061,"Furthermore, the ALDH1A1 inhibitor disulfiram and chemotherapeutic agent gemcitabine cooperatively inhibited breast tumor growth and tumorigenesis by purging ALDH+ TICs and activating T-cell immunity."
22696884,"After a short review of impotence, the definitions of erectants and aphrodisiacs are presented."
26262127,"For depression cases with high confidence, all of the algorithms we tested performed similarly, with MTERMS' knowledge-based decision tree slightly better than the machine learning classifiers, achieving an F-measure of 89.6%."
32582624,"As such, potent NTS1 agonists designed on the basis of the minimal C-terminal NT(8-13) bioactive fragment have been shown to produce mild hypothermia and exert neuroprotective effects under various clinically relevant conditions."
32582624,"Altogether, these results reveal the importance of the reduced amine bond in optimizing the metabolic properties of the NT(8-13) peptide and support the development of stable NTS1 agonists as first drug candidate in neuroprotective hypothermia."
27523731,The results indicate that Glu188 forms a novel binding site for positively charged and polar side-chains of amino acids.
27523731,Lack of accommodation for α-ketoglutarate and l-glutamate is due to the unique orientation and chemical properties of residues 102-106 in the loop forming the A-pocket.
