PMID,Sentence,E1,Type_E1,Relation,E2,Type_E2
7919173,"The antispastic agent and N-methyl-D-aspartate (NMDA) receptor antagonist memantine has recently been proposed as a neuroprotective drug for use in patients with dementia syndromes with primarily temporal lobe pathology, e.g. senile dementia of Alzheimer type or dementia in Parkinson's disease.",N-methyl-D-aspartate NMDA receptor antagonist memantine,CHEBI,be proposed as neuroprotective drug for use in patients with,dementia syndromes,MENTAL_HEALTH
7919173,"The antispastic agent and N-methyl-D-aspartate (NMDA) receptor antagonist memantine has recently been proposed as a neuroprotective drug for use in patients with dementia syndromes with primarily temporal lobe pathology, e.g. senile dementia of Alzheimer type or dementia in Parkinson's disease.",N-methyl-D-aspartate NMDA receptor antagonist memantine,CHEBI,be proposed as neuroprotective drug for use in patients with,dementia,MENTAL_HEALTH
7919173,"The antispastic agent and N-methyl-D-aspartate (NMDA) receptor antagonist memantine has recently been proposed as a neuroprotective drug for use in patients with dementia syndromes with primarily temporal lobe pathology, e.g. senile dementia of Alzheimer type or dementia in Parkinson's disease.",N-methyl-D-aspartate NMDA receptor antagonist memantine,CHEBI,be proposed as neuroprotective drug for use in patients with,Parkinson's disease,DISEASE
7919173,"The antispastic agent and N-methyl-D-aspartate (NMDA) receptor antagonist memantine has recently been proposed as a neuroprotective drug for use in patients with dementia syndromes with primarily temporal lobe pathology, e.g. senile dementia of Alzheimer type or dementia in Parkinson's disease.",N-methyl-D-aspartate NMDA receptor antagonist memantine,CHEMICAL,be proposed as neuroprotective drug for use in patients with,temporal lobe pathology,DISEASE
7919173,"The antispastic agent and N-methyl-D-aspartate (NMDA) receptor antagonist memantine has recently been proposed as a neuroprotective drug for use in patients with dementia syndromes with primarily temporal lobe pathology, e.g. senile dementia of Alzheimer type or dementia in Parkinson's disease.",N-methyl-D-aspartate NMDA receptor antagonist memantine,CHEMICAL,be proposed as neuroprotective drug for use in patients with,Alzheimer type,DISEASE
7919173,"The antispastic agent and N-methyl-D-aspartate (NMDA) receptor antagonist memantine has recently been proposed as a neuroprotective drug for use in patients with dementia syndromes with primarily temporal lobe pathology, e.g. senile dementia of Alzheimer type or dementia in Parkinson's disease.",N-methyl-D-aspartate NMDA receptor antagonist memantine,CHEMICAL,be proposed as neuroprotective drug for use in patients with,senile dementia,MENTAL_HEALTH
7919173,"The antispastic agent and N-methyl-D-aspartate (NMDA) receptor antagonist memantine has recently been proposed as a neuroprotective drug for use in patients with dementia syndromes with primarily temporal lobe pathology, e.g. senile dementia of Alzheimer type or dementia in Parkinson's disease.",N-methyl-D-aspartate NMDA receptor antagonist memantine,CHEMICAL,be proposed as neuroprotective drug for use in patients with,dementia syndromes,MENTAL_HEALTH
7919173,"The antispastic agent and N-methyl-D-aspartate (NMDA) receptor antagonist memantine has recently been proposed as a neuroprotective drug for use in patients with dementia syndromes with primarily temporal lobe pathology, e.g. senile dementia of Alzheimer type or dementia in Parkinson's disease.",N-methyl-D-aspartate NMDA receptor antagonist memantine,CHEMICAL,be proposed as neuroprotective drug for use in patients with,dementia,MENTAL_HEALTH
7919173,"The antispastic agent and N-methyl-D-aspartate (NMDA) receptor antagonist memantine has recently been proposed as a neuroprotective drug for use in patients with dementia syndromes with primarily temporal lobe pathology, e.g. senile dementia of Alzheimer type or dementia in Parkinson's disease.",N-methyl-D-aspartate NMDA receptor antagonist memantine,CHEMICAL,be proposed as neuroprotective drug for use in patients with,Parkinson's disease,DISEASE
7919173,"The antispastic agent and N-methyl-D-aspartate (NMDA) receptor antagonist memantine has recently been proposed as a neuroprotective drug for use in patients with dementia syndromes with primarily temporal lobe pathology, e.g. senile dementia of Alzheimer type or dementia in Parkinson's disease.",N-methyl-D-aspartate NMDA receptor antagonist memantine,CHEBI,be proposed as,neuroprotective drug,CHEBI
7919173,"The antispastic agent and N-methyl-D-aspartate (NMDA) receptor antagonist memantine has recently been proposed as a neuroprotective drug for use in patients with dementia syndromes with primarily temporal lobe pathology, e.g. senile dementia of Alzheimer type or dementia in Parkinson's disease.",N-methyl-D-aspartate NMDA receptor antagonist memantine,CHEMICAL,be proposed as,neuroprotective drug,CHEBI
7919173,"As these inhibition constants are well within the therapeutic concentration range of memantine, antagonism of endogenous glutamate at limbic NMDA receptors may be one molecular mechanism by which memantine is beneficial in dementia syndromes.",endogenous glutamate,CHEMICAL,be molecular mechanism as,memantine,CHEMICAL
7919173,"As these inhibition constants are well within the therapeutic concentration range of memantine, antagonism of endogenous glutamate at limbic NMDA receptors may be one molecular mechanism by which memantine is beneficial in dementia syndromes.",limbic NMDA receptors,CHEMICAL,be molecular mechanism as,memantine,CHEMICAL
7919173,"As these inhibition constants are well within the therapeutic concentration range of memantine, antagonism of endogenous glutamate at limbic NMDA receptors may be one molecular mechanism by which memantine is beneficial in dementia syndromes.",memantine,CHEMICAL,be beneficial by,dementia syndromes,MENTAL_HEALTH
33802719,"Fungicides, which restrict chemical synthesis in fungi, are the strongest controls for plant diseases.",Fungicides,CHEBI,be strongest controls for,plant diseases,DISEASE
33802719,Protection of Rhizoctonia solani viability reached 46.8% for gallnut and 37.88% for clove in water emulsions of 1000 μg/mL gallnut and clove in the presence of 0.1% Tween 80.,Rhizoctonia solani viability,DISEASE,reach % for gallnut and % for clove in,Tween,CHEMICAL
33802719,Protection of Rhizoctonia solani viability reached 46.8% for gallnut and 37.88% for clove in water emulsions of 1000 μg/mL gallnut and clove in the presence of 0.1% Tween 80.,Rhizoctonia solani viability,DISEASE,reach % for gallnut and % for clove in,μg/mL gallnut,CHEMICAL
35562809,We present the case of a carrier of Gaucher disease with gestational thrombocytopenia and anemia that required blood transfusion therapy.,Gaucher disease,DISEASE,have a carrier with,anemia,DISEASE
35562809,We present the case of a carrier of Gaucher disease with gestational thrombocytopenia and anemia that required blood transfusion therapy.,Gaucher disease,DISEASE,have a carrier with,gestational thrombocytopenia,DISEASE
1710460,"Other evidence of the ability of synaptosomes to maintain homeostasis was the failure of mitochondrial inhibitors to significantly reduce pH. The drop in synaptosomal pH effected by amiloride, an inhibitor of Na+/H+ exchange, and the transient rise in pH caused by ammonium chloride further suggested that synaptosomes may be a good model in the study of the regulation of intracellular pH. The elevation of cytosolic pH, and depression of oxygen radical formation by chlordecone, may result from both the attenuation of respiratory metabolism and an impaired capacity of the plasma membrane to maintain ionic gradients.",chlordecone,CHEMICAL,have and depression of,oxygen radical formation,CHEMICAL
24346956,"Drug treatment is the first-line treatment for acute mania with the initial aim of rapid control of agitation, aggression and dangerous behaviour.",Drug treatment,CHEBI,be first-line treatment for acute mania with initial aim of,aggression,DISEASE
24346956,"Drug treatment is the first-line treatment for acute mania with the initial aim of rapid control of agitation, aggression and dangerous behaviour.",Drug treatment,CHEBI,be first-line treatment for acute mania with initial aim of,agitation,MENTAL_HEALTH
24346956,"Drug treatment is the first-line treatment for acute mania with the initial aim of rapid control of agitation, aggression and dangerous behaviour.",Drug treatment,CHEBI,be first-line treatment for acute mania with initial aim of,dangerous behaviour,DISEASE
24346956,"Drug treatment is the first-line treatment for acute mania with the initial aim of rapid control of agitation, aggression and dangerous behaviour.",Drug treatment,CHEBI,be first-line treatment for,acute mania,MENTAL_HEALTH
24346956,"Aripiprazole, an atypical antipsychotic, is used in the treatment of mania both as monotherapy and combined with other medicines.",Aripiprazole,CHEMICAL,be used in treatment of,mania,MENTAL_HEALTH
24346956,"The British Association of Psychopharmacology guidelines report that, in monotherapy placebo-controlled trials, the atypical antipsychotics, including aripiprazole, have been shown to be effective for acute manic or mixed episodes.",aripiprazole,CHEMICAL,be shown in monotherapy placebo-controlled trials to effective for,manic episodes,DISEASE
34109745,"Regardless, two isolates, 'Carnobacterium maltaromaticum sm-2' and 'Arthrobacter citreus sm', showed multi-resistance to two or more antibiotics including ampicillin and streptomycin indicating multiple resistance genes.",Carnobacterium maltaromaticum sm-2,CHEMICAL,show multi-resistance to,ampicillin,CHEMICAL
34109745,"Regardless, two isolates, 'Carnobacterium maltaromaticum sm-2' and 'Arthrobacter citreus sm', showed multi-resistance to two or more antibiotics including ampicillin and streptomycin indicating multiple resistance genes.",Carnobacterium maltaromaticum sm-2,CHEMICAL,show multi-resistance to,streptomycin,CHEMICAL
34109745,"Regardless, two isolates, 'Carnobacterium maltaromaticum sm-2' and 'Arthrobacter citreus sm', showed multi-resistance to two or more antibiotics including ampicillin and streptomycin indicating multiple resistance genes.",Carnobacterium maltaromaticum sm-2,CHEMICAL,show multi-resistance to,antibiotics,CHEBI
34109745,"Regardless, two isolates, 'Carnobacterium maltaromaticum sm-2' and 'Arthrobacter citreus sm', showed multi-resistance to two or more antibiotics including ampicillin and streptomycin indicating multiple resistance genes.",Carnobacterium maltaromaticum sm-2,CHEMICAL,indicate,multiple resistance genes,MENTAL_HEALTH
30170111,"Therefore, the study on the response of pufferfish to the TBT exposure may contribute to reveal toxic injury mechanism of T. obscurus under TBT exposure.",TBT exposure,CHEMICAL,reveal toxic injury mechanism of,TBT exposure,CHEMICAL
30170111,"Therefore, the study on the response of pufferfish to the TBT exposure may contribute to reveal toxic injury mechanism of T. obscurus under TBT exposure.",TBT exposure,CHEMICAL,reveal,toxic injury mechanism,DISEASE
30213874,"The p.R745C variant within the tyrosine kinase domain was associated with defects in platelet aggregation, αIIbβ3 activation, and granule secretion induced by G-protein-coupled receptor (GPCR) agonists and convulxin, as well as in thrombus formation on collagen under flow.",tyrosine kinase domain,CHEMICAL,be associated with defects in,platelet aggregation,DISEASE
30213874,"The p.R745C variant within the tyrosine kinase domain was associated with defects in platelet aggregation, αIIbβ3 activation, and granule secretion induced by G-protein-coupled receptor (GPCR) agonists and convulxin, as well as in thrombus formation on collagen under flow.",tyrosine kinase domain,CHEMICAL,be associated with defects in,thrombus formation,DISEASE
25010374,Nutritional supplements are a feasible intervention for primary prevention and several epidemiological studies have indicated links between low folate status and depressive symptomatology in the general population.,low folate status,NUTRITION,have links with,depressive symptomatology,DISEASE
25010374,Nutritional supplements are a feasible intervention for primary prevention and several epidemiological studies have indicated links between low folate status and depressive symptomatology in the general population.,depressive symptomatology,DISEASE,have links with,low folate status,NUTRITION
23760977,Maternal folate supplementation reduces offspring risk for neural tube defects (NTDs) and other congenital abnormalities.,Maternal folate supplementation,NUTRITION,reduce offspring risk for,other congenital abnormalities,DISEASE
23760977,"Mood disorders (e.g., depression, bipolar disorder) are common among women and can be associated with folate deficiency.",depression,MENTAL_HEALTH,be associated with,folate deficiency,CHEBI
23760977,"Mood disorders (e.g., depression, bipolar disorder) are common among women and can be associated with folate deficiency.",Mood disorders,MENTAL_HEALTH,be associated with,folate deficiency,CHEBI
23760977,"Thus, pregnant women with histories of mood disorders may be prone to RBC folate levels insufficient to provide optimal protection against neural tube defects.",mood disorders,MENTAL_HEALTH,be prone to,RBC folate levels insufficient,NUTRITION
34422484,"However, it is a lesser known fact that glycyrrhizic acid, the active component in licorice, can cause a metabolic syndrome presenting as pseudohyperaldosteronism.",glycyrrhizic acid,CHEMICAL,cause,metabolic syndrome,DISEASE
9311548,"The study findings indicated that exposure to Zn3P2 not only caused mild acute and subacute liver cell damage, but also affected renal function and perhaps B-cells of the pancreas.",Zn3P2,CHEMICAL,cause,mild acute liver cell damage,DISEASE
31682992,The most studied models of PD are based on the use of neurotoxins that induce an almost complete striatal denervation.,PD,DISEASE,be based on use of,neurotoxins,CHEBI
26072303,Hyposmia following dopaminergic deafferentation was reversed by treatment with the D1/D2/D3 dopamine receptor agonist rotigotine.,Hyposmia,DISEASE,be reversed by treatment with,D1/D2/D3 dopamine receptor agonist rotigotine,CHEBI
26072303,Hyposmia following dopaminergic deafferentation was reversed by treatment with the D1/D2/D3 dopamine receptor agonist rotigotine.,Hyposmia,DISEASE,be reversed by treatment with,D1/D2/D3 dopamine receptor agonist rotigotine,CHEMICAL
35580314,"In more recent years, ambroxol has gained interest for its potential usefulness in treating neuropathic pain.",ambroxol,CHEMICAL,treat,neuropathic pain,DISEASE
35580314,"Ambroxol is a commercially available inhibitor of Nav1.8, a crucial player in the pathophysiology of neuropathic pain, and Nav1.7, a particularly exciting target for the treatment of chronic pain.",Ambroxol,CHEMICAL,be available inhibitor of,neuropathic pain,DISEASE
35367871,Dexamethasone has been widely used in clinical practice to promote fetal lung maturity and reduce neonatal respiratory distress syndrome and perinatal mortality.,Dexamethasone,CHEMICAL,reduce,neonatal respiratory distress syndrome,DISEASE
25046456,"The use of topical ketamine, which blocks n-methyl-D-aspartate receptors in a non-competitive fashion, might be a useful tool for the treatment of HS pain.",topical ketamine,CHEMICAL,be useful tool for treatment of,HS pain,DISEASE
25046456,"Nevertheless, topical amitriptyline increase of the tactile and mechanical nociceptive thresholds and can be used for topical pain control in compound mixture of analgesics .",topical amitriptyline increase,CHEMICAL,be used for topical pain control in,compound mixture,CHEBI
25046456,"Nevertheless, topical amitriptyline increase of the tactile and mechanical nociceptive thresholds and can be used for topical pain control in compound mixture of analgesics .",topical amitriptyline increase,CHEMICAL,be used for,topical pain control,DISEASE
3223170,Patients with neurotic disturbances showed activation of peroxidation expressed in increase of its initial and end products and decreased levels of alpha-tocopherol.,neurotic disturbances,DISEASE,decrease levels of,alpha-tocopherol,CHEBI
19025777,"On primary outcome measures, atomoxetine was associated with improved ED based on the Clinical Global Impression-Change Scale (75% positive response rate; 95% CI: 43-95%, P < 05) and behavioral measures of ED [Frontal Systems Behavior Scale (FrSBE) Executive Dysfunction and Connors Adult ADHD Rating Scale (CAARS) inattention/memory subscales].",atomoxetine,CHEMICAL,be associated on primary outcome measures with,ADHD Rating Scale,MENTAL_HEALTH
15614311,BACKGROUND: Mania is a rare but unwelcome side effect of treating depressed patients with antidepressants.,Mania,MENTAL_HEALTH,treat depressed patients with,antidepressants,CHEMICAL
15614311,BACKGROUND: Mania is a rare but unwelcome side effect of treating depressed patients with antidepressants.,Mania,MENTAL_HEALTH,treat,depressed patients,DISEASE
19195453,"This drug is a nonpeptide PI, with a distinct chemical structure that, by conferring it drug with enhanced binding affinity and a slower dissociation rate, makes it more potent than the remaining PIs developed to date.",drug,CHEBI,be,nonpeptide PI,CHEMICAL
32292321,A growing body of evidence suggests that dopamine antagonist medications are effective in reducing the severity of stuttering symptoms.,dopamine antagonist medications,CHEBI,reduce severity of,stuttering symptoms,MENTAL_HEALTH
32292321,"Stuttering shares many similarities to Tourette's Syndrome in that both begin in childhood, follow a similar male to female ratio of 4:1, respond to dopamine antagonists, and symptomatically worsen with dopamine agonists.",Stuttering shares,MENTAL_HEALTH,respond to,dopamine antagonists,CHEBI
32292321,"Stuttering shares many similarities to Tourette's Syndrome in that both begin in childhood, follow a similar male to female ratio of 4:1, respond to dopamine antagonists, and symptomatically worsen with dopamine agonists.",Stuttering shares,MENTAL_HEALTH,respond to,dopamine antagonists,CHEMICAL
32292321,"Stuttering shares many similarities to Tourette's Syndrome in that both begin in childhood, follow a similar male to female ratio of 4:1, respond to dopamine antagonists, and symptomatically worsen with dopamine agonists.",Stuttering shares,MENTAL_HEALTH,worsen with,dopamine agonists,CHEBI
32292321,"Stuttering shares many similarities to Tourette's Syndrome in that both begin in childhood, follow a similar male to female ratio of 4:1, respond to dopamine antagonists, and symptomatically worsen with dopamine agonists.",Stuttering shares,MENTAL_HEALTH,worsen with,dopamine agonists,CHEMICAL
30007887,"NMR reveals that CORM-3 binds cysteine and GSH in a 1:1 stoichiometry with dissociation constants, Kd, of about 5 μM, while histidine, GSSG and methionine are bound less tightly, with Kd values ranging between 800 and 9000 μM. There is a direct positive correlation between protection and amino acid affinity for CORM-3.",CORM-3,CHEMICAL,bind cysteine and gsh in stoichiometry with,dissociation constants,MENTAL_HEALTH
30007887,"NMR reveals that CORM-3 binds cysteine and GSH in a 1:1 stoichiometry with dissociation constants, Kd, of about 5 μM, while histidine, GSSG and methionine are bound less tightly, with Kd values ranging between 800 and 9000 μM. There is a direct positive correlation between protection and amino acid affinity for CORM-3.",CORM-3,CHEMICAL,bind,cysteine,CHEMICAL
30007887,"NMR reveals that CORM-3 binds cysteine and GSH in a 1:1 stoichiometry with dissociation constants, Kd, of about 5 μM, while histidine, GSSG and methionine are bound less tightly, with Kd values ranging between 800 and 9000 μM. There is a direct positive correlation between protection and amino acid affinity for CORM-3.",CORM-3,CHEMICAL,bind,GSH,CHEMICAL
30845636,"Considering global trends in coffee and energy drink consumption, our finding suggest that PS may be useful to relieve transitory insomnia symptoms caused by caffeine consumption, unlike the prescription drug ZPD.",PS,CHEMICAL,relieve,transitory insomnia symptoms,MENTAL_HEALTH
29368365,"In the present study, we investigated whether the phlorotannin supplement could improve sleep in subjects with self-reported sleep disturbances.",phlorotannin supplement,NUTRITION,improve sleep in subjects with,self-reported sleep disturbances,DISEASE
29368365,"Additionally, the respiratory disturbance index during supine rapid eye movement sleep was significantly lower in the phlorotannin group (p = .035).",respiratory disturbance index,DISEASE,be lower in,phlorotannin group,NUTRITION
10940321,"Cyt-4-induced amnesia was reversed by the general opioid antagonist, naloxone, indicating that cyt-4 was acting via an opioid receptor.",Cyt-4-induced amnesia,MENTAL_HEALTH,be reversed by,naloxone,CHEMICAL
10940321,"Cyt-4-induced amnesia was reversed by the general opioid antagonist, naloxone, indicating that cyt-4 was acting via an opioid receptor.",Cyt-4-induced amnesia,MENTAL_HEALTH,be reversed by,general opioid antagonist,CHEBI
26806832,"Osteitis fibrosa is a high-turnover bone disease resulting mainly from secondary hyperparathyroidism, and mixed uremic osteodystrophy is in addition characterized by a mineralization defect most often attributed to vitamin D deficiency.",Osteitis fibrosa,DISEASE,resulting from,secondary hyperparathyroidism,DISEASE
26806832,"The development of high-turnover bone disease would occur only later on, when serum PTH levels are able to overcome peripheral PTH resistance and the other inhibitory factors of bone formation.",serum PTH levels,CHEMICAL,overcome,peripheral PTH resistance,MENTAL_HEALTH
26806832,"The development of high-turnover bone disease would occur only later on, when serum PTH levels are able to overcome peripheral PTH resistance and the other inhibitory factors of bone formation.",serum PTH levels,CHEMICAL,overcome,peripheral PTH resistance,CHEMICAL
30385872,Eighteen medication-free individuals with MDD currently in a major depressive episode were enrolled in an open-label study and received ezogabine up to 900 mg/day orally over the course of 10 weeks.,MDD,DISEASE,receive,ezogabine,CHEMICAL
30385872,Eighteen medication-free individuals with MDD currently in a major depressive episode were enrolled in an open-label study and received ezogabine up to 900 mg/day orally over the course of 10 weeks.,major depressive episode,MENTAL_HEALTH,receive,ezogabine,CHEMICAL
34698218,"Serotonin-norepinephrine reuptake inhibitors can have multiple clinical indications, including as the first-line agents for the management of depression and anxiety, and as analgesics in the treatment of chronic pain.",Serotonin-norepinephrine reuptake inhibitors,CHEMICAL,including as first-line agents for management of,anxiety,MENTAL_HEALTH
34698218,"Serotonin-norepinephrine reuptake inhibitors can have multiple clinical indications, including as the first-line agents for the management of depression and anxiety, and as analgesics in the treatment of chronic pain.",Serotonin-norepinephrine reuptake inhibitors,CHEMICAL,including as first-line agents for management of,depression,MENTAL_HEALTH
34698218,"Serotonin-norepinephrine reuptake inhibitors can have multiple clinical indications, including as the first-line agents for the management of depression and anxiety, and as analgesics in the treatment of chronic pain.",Serotonin-norepinephrine reuptake inhibitors,CHEMICAL,including as first-line agents for management of,chronic pain,DISEASE
35569694,Methicillin resistant Staphylococcus aureus (MRSA) is a prime pathogen responsible for various infections in human beings.,resistant Staphylococcus aureus,DISEASE,be prime pathogen responsible for,various infections,DISEASE
35569694,"CCPL inhibited young biofilm (64.15-72.70%) as well degraded mature biofilm (55.60-63.65%) at ½ and ¼ MIC doses, which was further confirmed by scanning electron microscopy and confocal laser scanning microscope studies.",CCPL,CHEMICAL,inhibit,young biofilm,DISEASE
35569694,"In addition, CCPL inhibited the synthesis of virulence factors like slime production (0.40-0.50 folds), DNase production, hemolytic activity (28.08-49.07%), proteolytic production (14.65-18.04%), lipase production, autolysis and cell auto-aggregation.",CCPL,CHEMICAL,inhibit in addition synthesis of virulence factors like,hemolytic activity,DISEASE
35569694,"In addition, CCPL inhibited the synthesis of virulence factors like slime production (0.40-0.50 folds), DNase production, hemolytic activity (28.08-49.07%), proteolytic production (14.65-18.04%), lipase production, autolysis and cell auto-aggregation.",CCPL,CHEMICAL,inhibit in addition synthesis of,virulence factors,CHEBI
35247432,The increasing drug resistance of plasmodium falciparum even makes the treatment procedure of malaria challenging and more problematic.,drug resistance,MENTAL_HEALTH,make treatment procedure of,malaria,DISEASE
35247432,The increasing drug resistance of plasmodium falciparum even makes the treatment procedure of malaria challenging and more problematic.,plasmodium falciparum,DISEASE,make treatment procedure of,malaria,DISEASE
35247432,The increasing drug resistance of plasmodium falciparum even makes the treatment procedure of malaria challenging and more problematic.,drug resistance,CHEBI,make treatment procedure of,malaria,DISEASE
35247432,"In this study, the encapsulated amphotericin B (Constantinides et al.) in DSPC/DSPE-PEG2000 micelles was investigated as an antimalarial drug against P. falciparum 3D7 strain.",encapsulated amphotericin B Constantinides,CHEMICAL,be investigated in study as antimalarial drug against,P. falciparum 3D7 strain,DISEASE
35247432,"In this study, the encapsulated amphotericin B (Constantinides et al.) in DSPC/DSPE-PEG2000 micelles was investigated as an antimalarial drug against P. falciparum 3D7 strain.",encapsulated amphotericin B Constantinides,CHEMICAL,be investigated in study as,antimalarial drug,CHEBI
35247432,"Moreover, according to the results of this study, the encapsulated AmB drugs are promising nanostructures for malaria treatment.",encapsulated AmB drugs,CHEMICAL,according to results of study nanostructures for,malaria treatment,DISEASE
35247432,Therefore the nanoencapsulation AmB showed promising application for malaria treatment.,nanoencapsulation AmB,CHEMICAL,show promising application for,malaria treatment,DISEASE
23548819,"There, she was diagnosed with a ""Narcissistic Paranoid Personality Disorder"", and it was hypothesized that the SSRI she was taking could have induced hypo/manic episodes and disinhibition in the woman, who had previously been heterosexual.",SSRI,CHEBI,induce,hypo/manic episodes,DISEASE
23548819,"The defending lawyer therefore applied for a forensic psychiatry assessment, claiming that the persecutory behavior against the third girlfriend was induced by taking SSRI.",persecutory behavior,DISEASE,take,SSRI,CHEBI
31729425,Excessive sucrose consumption elicits addiction-like craving that may underpin the obesity epidemic.,Excessive sucrose consumption,CHEMICAL,elicit,addiction-like craving,MENTAL_HEALTH
29253574,"Here we showed that metformin attenuated spatial memory deficit, neuron loss in the hippocampus and enhanced neurogenesis in APP/PS1 mice.",metformin,CHEMICAL,attenuate,spatial deficit neuron loss,DISEASE
29253574,"Our data suggest that metformin can exert functional recovery of memory deficits and neuroprotective effect on APP/PS1 mice via triggering neurogenesis and anti-inflammation mediated by regulating AMPK/mTOR/S6K/Bace1 and AMPK/P65 NF-κB signaling pathways in the hippocampus, which may contribute to improvement in neurological deficits.",metformin,CHEMICAL,exert functional recovery of memory deficits and neuroprotective effect on app/ps1 mice via,triggering neurogenesis,DISEASE
29253574,"Our data suggest that metformin can exert functional recovery of memory deficits and neuroprotective effect on APP/PS1 mice via triggering neurogenesis and anti-inflammation mediated by regulating AMPK/mTOR/S6K/Bace1 and AMPK/P65 NF-κB signaling pathways in the hippocampus, which may contribute to improvement in neurological deficits.",metformin,CHEMICAL,exert functional recovery of,memory deficits,DISEASE
29253574,"Our data suggest that metformin can exert functional recovery of memory deficits and neuroprotective effect on APP/PS1 mice via triggering neurogenesis and anti-inflammation mediated by regulating AMPK/mTOR/S6K/Bace1 and AMPK/P65 NF-κB signaling pathways in the hippocampus, which may contribute to improvement in neurological deficits.",metformin,CHEMICAL,regulate,AMPK/mTOR/S6K/Bace1 signaling pathways,CHEMICAL
34911135,"Our results show that SC and WSC can alleviate cardiovascular dysfunction while promoting sleep, and we further explored their potential mechanisms.",WSC,CHEMICAL,alleviate,cardiovascular dysfunction,DISEASE
7905339,"The ATP-dependent K+ (KATP) channel blocker gliquidone (4-8 micrograms/mouse, i.c.v.) produced a dose-dependent displacement to the right of the clonidine dose-response line, but neither 4-aminopyridine (4-AP) (25-250 ng/mouse, i.c.v.) nor tetraethylammonium (TEA) (10-20 micrograms/mouse, i.c.v.) significantly modified clonidine-induced antinociception.",gliquidone micrograms/mouse,CHEMICAL,produce dose-dependent displacement to,clonidine dose-response line,CHEMICAL
7905339,"The ATP-dependent K+ (KATP) channel blocker gliquidone (4-8 micrograms/mouse, i.c.v.) produced a dose-dependent displacement to the right of the clonidine dose-response line, but neither 4-aminopyridine (4-AP) (25-250 ng/mouse, i.c.v.) nor tetraethylammonium (TEA) (10-20 micrograms/mouse, i.c.v.) significantly modified clonidine-induced antinociception.",K+ KATP channel blocker,CHEMICAL,produce dose-dependent displacement to,clonidine dose-response line,CHEMICAL
7905339,"The ATP-dependent K+ (KATP) channel blocker gliquidone (4-8 micrograms/mouse, i.c.v.) produced a dose-dependent displacement to the right of the clonidine dose-response line, but neither 4-aminopyridine (4-AP) (25-250 ng/mouse, i.c.v.) nor tetraethylammonium (TEA) (10-20 micrograms/mouse, i.c.v.) significantly modified clonidine-induced antinociception.",gliquidone micrograms/mouse,CHEMICAL,produce,dose-dependent displacement,MENTAL_HEALTH
7905339,"The ATP-dependent K+ (KATP) channel blocker gliquidone (4-8 micrograms/mouse, i.c.v.) produced a dose-dependent displacement to the right of the clonidine dose-response line, but neither 4-aminopyridine (4-AP) (25-250 ng/mouse, i.c.v.) nor tetraethylammonium (TEA) (10-20 micrograms/mouse, i.c.v.) significantly modified clonidine-induced antinociception.",K+ KATP channel blocker,CHEMICAL,produce,dose-dependent displacement,MENTAL_HEALTH
7905339,"Both 4-AP (2.5-25 ng/mouse, i.c.v.) and TEA (10-20 micrograms/mouse, i.c.v.) dose-dependently antagonized baclofen antinociception, producing a displacement to the right of the baclofen dose-response line.",TEA,CHEMICAL,produce displacement to,baclofen dose-response line,CHEMICAL
7905339,"Both 4-AP (2.5-25 ng/mouse, i.c.v.) and TEA (10-20 micrograms/mouse, i.c.v.) dose-dependently antagonized baclofen antinociception, producing a displacement to the right of the baclofen dose-response line.",TEA,CHEMICAL,produce,displacement,MENTAL_HEALTH
7905339,"Both 4-AP (2.5-25 ng/mouse, i.c.v.) and TEA (10-20 micrograms/mouse, i.c.v.) dose-dependently antagonized baclofen antinociception, producing a displacement to the right of the baclofen dose-response line.",TEA,CHEMICAL,antagonize,baclofen antinociception,CHEMICAL
12131605,"Opioid antagonists have been effective in treating urge-driven disorders, such as pathological gambling disorder, alcoholism, borderline personality disorder with self-injurious behaviour, cocaine abuse, mental retardation with self-injurious behaviour and eating disorders.",Opioid antagonists,CHEBI,treat,mental retardation,MENTAL_HEALTH
12131605,"Opioid antagonists have been effective in treating urge-driven disorders, such as pathological gambling disorder, alcoholism, borderline personality disorder with self-injurious behaviour, cocaine abuse, mental retardation with self-injurious behaviour and eating disorders.",Opioid antagonists,CHEBI,treat,pathological gambling disorder,MENTAL_HEALTH
12131605,"Opioid antagonists have been effective in treating urge-driven disorders, such as pathological gambling disorder, alcoholism, borderline personality disorder with self-injurious behaviour, cocaine abuse, mental retardation with self-injurious behaviour and eating disorders.",Opioid antagonists,CHEBI,treat,borderline personality disorder,MENTAL_HEALTH
12131605,"Opioid antagonists have been effective in treating urge-driven disorders, such as pathological gambling disorder, alcoholism, borderline personality disorder with self-injurious behaviour, cocaine abuse, mental retardation with self-injurious behaviour and eating disorders.",Opioid antagonists,CHEBI,treat,self-injurious behaviour,DISEASE
12131605,"Opioid antagonists have been effective in treating urge-driven disorders, such as pathological gambling disorder, alcoholism, borderline personality disorder with self-injurious behaviour, cocaine abuse, mental retardation with self-injurious behaviour and eating disorders.",Opioid antagonists,CHEBI,treat,alcoholism,DISEASE
12131605,"Opioid antagonists have been effective in treating urge-driven disorders, such as pathological gambling disorder, alcoholism, borderline personality disorder with self-injurious behaviour, cocaine abuse, mental retardation with self-injurious behaviour and eating disorders.",Opioid antagonists,CHEBI,treat,urge-driven disorders,DISEASE
