PMID,Sentence,Named-Entity,Result
33914772,"Compared to healthy children, patients during periods of thyroid hormone elevation (74.29%) and normalized thyroid hormones (31.43%) had higher frequencies of behavioral abnormalities and scorings of total CBCL scale (P = 0.01; P = 0.04, respectively) and its subscales' [Anxious/Depressed (P = 0.02; P = 0.04), Withdrawn/Depressed (P = 0.03; P = 0.04) and Somatic Complaints (P = 0.03; P = 0.127) and Social (P = 0.01; P = 0.225), Thought (P = 0.01; P = 0.128) and Attention (P = 0.01; P = 0.01) problems], indicating internalizing and externalizing problems.",behavioral abnormalities,1
15729086,"Betahistine, a histamine enhancer with H1 agonistic/H3 antagonistic properties (48 mg t.i.d.), was coadministered with olanzapine (10 mg/day) in three first-episode schizophrenia patients for 6 weeks.",Betahistine,1
15729086,"Betahistine, a histamine enhancer with H1 agonistic/H3 antagonistic properties (48 mg t.i.d.), was coadministered with olanzapine (10 mg/day) in three first-episode schizophrenia patients for 6 weeks.",olanzapine,1
15729086,"Betahistine, a histamine enhancer with H1 agonistic/H3 antagonistic properties (48 mg t.i.d.), was coadministered with olanzapine (10 mg/day) in three first-episode schizophrenia patients for 6 weeks.",first-episode schizophrenia patients,1
15729086,"Betahistine, a histamine enhancer with H1 agonistic/H3 antagonistic properties (48 mg t.i.d.), was coadministered with olanzapine (10 mg/day) in three first-episode schizophrenia patients for 6 weeks.",histamine enhancer,1
15729086,"Betahistine, a histamine enhancer with H1 agonistic/H3 antagonistic properties (48 mg t.i.d.), was coadministered with olanzapine (10 mg/day) in three first-episode schizophrenia patients for 6 weeks.",t.i.d,0
34453973,"Altogether, our results suggest that increased glutamate, GluN2B activation, and likely calcium increase indicative of glutamate excitotoxicity-induced neuronal loss in LHb possibly endorse the emergence of ethanol withdrawal symptoms, while their inhibition might help in alleviating the ethanol withdrawal symptoms.",excitotoxicity-induced neuronal loss,1
34453973,"Altogether, our results suggest that increased glutamate, GluN2B activation, and likely calcium increase indicative of glutamate excitotoxicity-induced neuronal loss in LHb possibly endorse the emergence of ethanol withdrawal symptoms, while their inhibition might help in alleviating the ethanol withdrawal symptoms.",ethanol withdrawal symptoms,1
34453973,"Altogether, our results suggest that increased glutamate, GluN2B activation, and likely calcium increase indicative of glutamate excitotoxicity-induced neuronal loss in LHb possibly endorse the emergence of ethanol withdrawal symptoms, while their inhibition might help in alleviating the ethanol withdrawal symptoms.",increased glutamate indicative,0
34453973,"Altogether, our results suggest that increased glutamate, GluN2B activation, and likely calcium increase indicative of glutamate excitotoxicity-induced neuronal loss in LHb possibly endorse the emergence of ethanol withdrawal symptoms, while their inhibition might help in alleviating the ethanol withdrawal symptoms.",calcium increase,0
34453973,"Altogether, our results suggest that increased glutamate, GluN2B activation, and likely calcium increase indicative of glutamate excitotoxicity-induced neuronal loss in LHb possibly endorse the emergence of ethanol withdrawal symptoms, while their inhibition might help in alleviating the ethanol withdrawal symptoms.",GluN2B activation,1
19828388,"As compared to cirrhotic HCC, this kind of tumour has some peculiarities, such as: (a) a lower male preponderance and a bimodal age distribution; (b) a lower prevalence of the three main risk factors (hepatitis B and C virus infections and alcohol abuse), with an increased prevalence of other etiologic factors, such as exposure to genotoxic substances and sex hormones, inherited diseases, genetic mutations; (c) a more advanced tumour stage at the time of diagnosis, as it is usually detected due to the occurrence of cancer-related symptoms, outside any scheduled surveillance program; (d) a much higher amenability to hepatic resection, due to the low risk of liver failure even after extended parenchymal mutilation; (e) overall and disease-free survivals after resection of non-advanced tumours (meeting the Milano criteria) comparable to that obtained with liver transplantation in cirrhotic patients carrying an early tumour; (f) overall survival strictly dependent on tumour burden (and its recurrence) and barely influenced by liver function.",tumour,1
19828388,"As compared to cirrhotic HCC, this kind of tumour has some peculiarities, such as: (a) a lower male preponderance and a bimodal age distribution; (b) a lower prevalence of the three main risk factors (hepatitis B and C virus infections and alcohol abuse), with an increased prevalence of other etiologic factors, such as exposure to genotoxic substances and sex hormones, inherited diseases, genetic mutations; (c) a more advanced tumour stage at the time of diagnosis, as it is usually detected due to the occurrence of cancer-related symptoms, outside any scheduled surveillance program; (d) a much higher amenability to hepatic resection, due to the low risk of liver failure even after extended parenchymal mutilation; (e) overall and disease-free survivals after resection of non-advanced tumours (meeting the Milano criteria) comparable to that obtained with liver transplantation in cirrhotic patients carrying an early tumour; (f) overall survival strictly dependent on tumour burden (and its recurrence) and barely influenced by liver function.",tumour burden,1
19828388,"As compared to cirrhotic HCC, this kind of tumour has some peculiarities, such as: (a) a lower male preponderance and a bimodal age distribution; (b) a lower prevalence of the three main risk factors (hepatitis B and C virus infections and alcohol abuse), with an increased prevalence of other etiologic factors, such as exposure to genotoxic substances and sex hormones, inherited diseases, genetic mutations; (c) a more advanced tumour stage at the time of diagnosis, as it is usually detected due to the occurrence of cancer-related symptoms, outside any scheduled surveillance program; (d) a much higher amenability to hepatic resection, due to the low risk of liver failure even after extended parenchymal mutilation; (e) overall and disease-free survivals after resection of non-advanced tumours (meeting the Milano criteria) comparable to that obtained with liver transplantation in cirrhotic patients carrying an early tumour; (f) overall survival strictly dependent on tumour burden (and its recurrence) and barely influenced by liver function.",non-advanced tumours,1
19828388,"As compared to cirrhotic HCC, this kind of tumour has some peculiarities, such as: (a) a lower male preponderance and a bimodal age distribution; (b) a lower prevalence of the three main risk factors (hepatitis B and C virus infections and alcohol abuse), with an increased prevalence of other etiologic factors, such as exposure to genotoxic substances and sex hormones, inherited diseases, genetic mutations; (c) a more advanced tumour stage at the time of diagnosis, as it is usually detected due to the occurrence of cancer-related symptoms, outside any scheduled surveillance program; (d) a much higher amenability to hepatic resection, due to the low risk of liver failure even after extended parenchymal mutilation; (e) overall and disease-free survivals after resection of non-advanced tumours (meeting the Milano criteria) comparable to that obtained with liver transplantation in cirrhotic patients carrying an early tumour; (f) overall survival strictly dependent on tumour burden (and its recurrence) and barely influenced by liver function.",liver failure,1
19828388,"As compared to cirrhotic HCC, this kind of tumour has some peculiarities, such as: (a) a lower male preponderance and a bimodal age distribution; (b) a lower prevalence of the three main risk factors (hepatitis B and C virus infections and alcohol abuse), with an increased prevalence of other etiologic factors, such as exposure to genotoxic substances and sex hormones, inherited diseases, genetic mutations; (c) a more advanced tumour stage at the time of diagnosis, as it is usually detected due to the occurrence of cancer-related symptoms, outside any scheduled surveillance program; (d) a much higher amenability to hepatic resection, due to the low risk of liver failure even after extended parenchymal mutilation; (e) overall and disease-free survivals after resection of non-advanced tumours (meeting the Milano criteria) comparable to that obtained with liver transplantation in cirrhotic patients carrying an early tumour; (f) overall survival strictly dependent on tumour burden (and its recurrence) and barely influenced by liver function.",cirrhotic HCC,1
7521326,"The addition of dopamine antagonists to the regimens of SUI-resistant patients appears to be a useful approach for OCD patients with a comorbid chronic tic disorder (e.g., Tourette's syndrome) and possibly for those with concurrent psychotic spectrum disorders.",dopamine antagonists,1
7521326,"The addition of dopamine antagonists to the regimens of SUI-resistant patients appears to be a useful approach for OCD patients with a comorbid chronic tic disorder (e.g., Tourette's syndrome) and possibly for those with concurrent psychotic spectrum disorders.",comorbid chronic tic disorder,1
7521326,"The addition of dopamine antagonists to the regimens of SUI-resistant patients appears to be a useful approach for OCD patients with a comorbid chronic tic disorder (e.g., Tourette's syndrome) and possibly for those with concurrent psychotic spectrum disorders.",concurrent psychotic spectrum disorders,1
7521326,"The addition of dopamine antagonists to the regimens of SUI-resistant patients appears to be a useful approach for OCD patients with a comorbid chronic tic disorder (e.g., Tourette's syndrome) and possibly for those with concurrent psychotic spectrum disorders.",Tourette's syndrome,1
7521326,"The addition of dopamine antagonists to the regimens of SUI-resistant patients appears to be a useful approach for OCD patients with a comorbid chronic tic disorder (e.g., Tourette's syndrome) and possibly for those with concurrent psychotic spectrum disorders.",SUI-resistant patients,1
7521326,"The addition of dopamine antagonists to the regimens of SUI-resistant patients appears to be a useful approach for OCD patients with a comorbid chronic tic disorder (e.g., Tourette's syndrome) and possibly for those with concurrent psychotic spectrum disorders.",OCD patients,1
8217063,"However, lithium is a highly specific treatment for bipolar disorder.",lithium,1
8217063,"However, lithium is a highly specific treatment for bipolar disorder.",bipolar disorder,1
31128204,"The prenatal administration of VPA has induced social impairment, repetitive behavior, hyperlocomotion, anxiety and low exploratory activity in rats.",VPA,1
31128204,"The prenatal administration of VPA has induced social impairment, repetitive behavior, hyperlocomotion, anxiety and low exploratory activity in rats.",anxiety,1
31128204,"The prenatal administration of VPA has induced social impairment, repetitive behavior, hyperlocomotion, anxiety and low exploratory activity in rats.",repetitive behavior,1
2840978,"Baseline cortisol was significantly elevated in depressed as compared with panic patients, but not with controls.",Baseline cortisol,1
2840978,"Baseline cortisol was significantly elevated in depressed as compared with panic patients, but not with controls.",panic patients,1
35066169,Our findings showed that the allergic rhinitis induced by OVA challenge in sensitized rats induces anxiety-like behavior.,allergic rhinitis,1
35066169,Our findings showed that the allergic rhinitis induced by OVA challenge in sensitized rats induces anxiety-like behavior.,anxiety-like behavior,1
26781550,"Rather, the evidence leads us to conclude that both early use and heavy use of cannabis are more likely in individuals with a vulnerability to psychosis.",cannabis,1
26781550,"Rather, the evidence leads us to conclude that both early use and heavy use of cannabis are more likely in individuals with a vulnerability to psychosis.",psychosis,1
30292070,"Individuals with gambling disorder (GD) report much higher rates of post-traumatic stress symptoms and post-traumatic stress disorder (PTSS/D) than the general population, and individuals with both PTSS/D and GD often report much greater distress and impairment in daily life in comparison to individuals with GD alone (Grubbs, Chapman, Milner, Gutierrez, & Bradley, 2018).",gambling disorder,1
30292070,"Individuals with gambling disorder (GD) report much higher rates of post-traumatic stress symptoms and post-traumatic stress disorder (PTSS/D) than the general population, and individuals with both PTSS/D and GD often report much greater distress and impairment in daily life in comparison to individuals with GD alone (Grubbs, Chapman, Milner, Gutierrez, & Bradley, 2018).",post-traumatic stress symptoms,1
30292070,"Individuals with gambling disorder (GD) report much higher rates of post-traumatic stress symptoms and post-traumatic stress disorder (PTSS/D) than the general population, and individuals with both PTSS/D and GD often report much greater distress and impairment in daily life in comparison to individuals with GD alone (Grubbs, Chapman, Milner, Gutierrez, & Bradley, 2018).",post-traumatic stress disorder,1
30292070,"Individuals with gambling disorder (GD) report much higher rates of post-traumatic stress symptoms and post-traumatic stress disorder (PTSS/D) than the general population, and individuals with both PTSS/D and GD often report much greater distress and impairment in daily life in comparison to individuals with GD alone (Grubbs, Chapman, Milner, Gutierrez, & Bradley, 2018).",GD,1
30292070,"Individuals with gambling disorder (GD) report much higher rates of post-traumatic stress symptoms and post-traumatic stress disorder (PTSS/D) than the general population, and individuals with both PTSS/D and GD often report much greater distress and impairment in daily life in comparison to individuals with GD alone (Grubbs, Chapman, Milner, Gutierrez, & Bradley, 2018).",GD Grubbs,0
25227974,Opioid analgesics are used commonly in end-stage cancer patients for pain treatment.,Opioid analgesics,1
25227974,Opioid analgesics are used commonly in end-stage cancer patients for pain treatment.,pain treatment,1
25227974,Opioid analgesics are used commonly in end-stage cancer patients for pain treatment.,end-stage cancer patients,0
31962287,SE animals were injected with the inverse CB1 receptor agonist AM251.,SE animals,1
31962287,SE animals were injected with the inverse CB1 receptor agonist AM251.,agonist AM251,0
11470967,"Unfortunately, typical antipsychotic agents such as haloperidol, which selectively antagonizes dopamine D-2 receptors, can induce extrapyramidal syndromes such as tardive parkinsonism.",haloperidol,1
11470967,"Unfortunately, typical antipsychotic agents such as haloperidol, which selectively antagonizes dopamine D-2 receptors, can induce extrapyramidal syndromes such as tardive parkinsonism.",tardive parkinsonism,1
11470967,"Unfortunately, typical antipsychotic agents such as haloperidol, which selectively antagonizes dopamine D-2 receptors, can induce extrapyramidal syndromes such as tardive parkinsonism.",extrapyramidal syndromes,1
31269538,"Ten adult patients with severe pain from redback spider envenoming were administered 15 mg intravenous ketamine after standard analgesia, then up to 4 oral doses of ketamine 25- 50 mg.",spider envenoming,1
31269538,"Ten adult patients with severe pain from redback spider envenoming were administered 15 mg intravenous ketamine after standard analgesia, then up to 4 oral doses of ketamine 25- 50 mg.",ketamine,1
31269538,"Ten adult patients with severe pain from redback spider envenoming were administered 15 mg intravenous ketamine after standard analgesia, then up to 4 oral doses of ketamine 25- 50 mg.",intravenous ketamine,1
31269538,"Ten adult patients with severe pain from redback spider envenoming were administered 15 mg intravenous ketamine after standard analgesia, then up to 4 oral doses of ketamine 25- 50 mg.",standard analgesia,1
31269538,"Ten adult patients with severe pain from redback spider envenoming were administered 15 mg intravenous ketamine after standard analgesia, then up to 4 oral doses of ketamine 25- 50 mg.",severe pain,1
9673858,The use of clozapine and other novel antipsychotic agents is also likely to represent an important step in the prevention and treatment of tardive dystonia.,clozapine,1
9673858,The use of clozapine and other novel antipsychotic agents is also likely to represent an important step in the prevention and treatment of tardive dystonia.,tardive dystonia,1
31526831,"Cholecystokinin (CCK), through the CCK-2 receptor, exerts complex effects on anxiety.",Cholecystokinin,1
31526831,"Cholecystokinin (CCK), through the CCK-2 receptor, exerts complex effects on anxiety.",anxiety,1
34177891,"Overall, clinical and preclinical evidences strongly suggest that the GABAB receptor is a therapeutic candidate for depression and anxiety disorders.",GABAB receptor,1
34177891,"Overall, clinical and preclinical evidences strongly suggest that the GABAB receptor is a therapeutic candidate for depression and anxiety disorders.",depression,1
34177891,"Overall, clinical and preclinical evidences strongly suggest that the GABAB receptor is a therapeutic candidate for depression and anxiety disorders.",anxiety disorders,1
8072794,"The antioxidants alpha-tocopherol and sodium selenite, the nootropic agent piracetam, and the amino acid L-tryptophan prevent amnesia.",acid L-tryptophan,1
8072794,"The antioxidants alpha-tocopherol and sodium selenite, the nootropic agent piracetam, and the amino acid L-tryptophan prevent amnesia.",amnesia,1
8072794,"The antioxidants alpha-tocopherol and sodium selenite, the nootropic agent piracetam, and the amino acid L-tryptophan prevent amnesia.",nootropic agent piracetam,1
8072794,"The antioxidants alpha-tocopherol and sodium selenite, the nootropic agent piracetam, and the amino acid L-tryptophan prevent amnesia.",sodium selenite,1
8072794,"The antioxidants alpha-tocopherol and sodium selenite, the nootropic agent piracetam, and the amino acid L-tryptophan prevent amnesia.",antioxidants alpha-tocopherol,1
23680468,We aimed to examine the association between MDA and A-ADHD.,MDA,1
23680468,We aimed to examine the association between MDA and A-ADHD.,A-ADHD,1
32654402,The outcome with pegylated IFN (PEG-IFN) and newer NUCs may be even better because of more effective treatment and/or a low risk of resistance.,PEG-IFN,1
32654402,The outcome with pegylated IFN (PEG-IFN) and newer NUCs may be even better because of more effective treatment and/or a low risk of resistance.,resistance,1
32654402,The outcome with pegylated IFN (PEG-IFN) and newer NUCs may be even better because of more effective treatment and/or a low risk of resistance.,newer NUCs,0
32654402,The outcome with pegylated IFN (PEG-IFN) and newer NUCs may be even better because of more effective treatment and/or a low risk of resistance.,pegylated IFN,1
27417982,Adrenergic agents and vasodilators are associated with a high prevalence of orthostatic hypotension in diabetic patients.,Adrenergic agents,1
27417982,Adrenergic agents and vasodilators are associated with a high prevalence of orthostatic hypotension in diabetic patients.,diabetic patients,1
27417982,Adrenergic agents and vasodilators are associated with a high prevalence of orthostatic hypotension in diabetic patients.,orthostatic hypotension,1
31108875,The anticonvulsant drugs valproic acid and valpromide inhibit EBV in Burkitt lymphoma cells.,drugs valproic acid,1
31108875,The anticonvulsant drugs valproic acid and valpromide inhibit EBV in Burkitt lymphoma cells.,Burkitt lymphoma cells,1
19490092,"In this study, we investigated the molecular mechanisms by which the non-selective cannabinoid receptor agonist WIN55,212-2 (WIN) protects mouse nigrostriatal neurons from 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)-induced neurotoxicity and neuroinflammation.","non-selective cannabinoid receptor agonist WIN55,212",1
19490092,"In this study, we investigated the molecular mechanisms by which the non-selective cannabinoid receptor agonist WIN55,212-2 (WIN) protects mouse nigrostriatal neurons from 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)-induced neurotoxicity and neuroinflammation.",(MPTP)-induced neurotoxicity,1
19490092,"In this study, we investigated the molecular mechanisms by which the non-selective cannabinoid receptor agonist WIN55,212-2 (WIN) protects mouse nigrostriatal neurons from 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)-induced neurotoxicity and neuroinflammation.",neuroinflammation,1
32937186,"Taken together, the present results showed that morphine administration could improve stress-induced memory impairment and anxiety in the rats exposed to the inescapable acute stress.",morphine administration,1
32937186,"Taken together, the present results showed that morphine administration could improve stress-induced memory impairment and anxiety in the rats exposed to the inescapable acute stress.",anxiety,1
32937186,"Taken together, the present results showed that morphine administration could improve stress-induced memory impairment and anxiety in the rats exposed to the inescapable acute stress.",stress-induced memory impairment,1
23436669,"Anxiety disorders can occur in intoxication by stimulants, as well as in withdrawal syndrome, both by stimulants and sedatives.",Anxiety disorders,1
23436669,"Anxiety disorders can occur in intoxication by stimulants, as well as in withdrawal syndrome, both by stimulants and sedatives.",stimulants,1
23436669,"Anxiety disorders can occur in intoxication by stimulants, as well as in withdrawal syndrome, both by stimulants and sedatives.",withdrawal syndrome,1
15179444,"TC-1734 was very well tolerated in acute and chronic oral toxicity studies in mice, rats and dogs.",TC-1734,1
15179444,"TC-1734 was very well tolerated in acute and chronic oral toxicity studies in mice, rats and dogs.",acute oral toxicity studies,1
35093492,Plasma HPA axis hormones were assayed by ELISA and enteroid and colorectal cancer cell line cultures were used to verify function.,Plasma HPA axis hormones,1
35093492,Plasma HPA axis hormones were assayed by ELISA and enteroid and colorectal cancer cell line cultures were used to verify function.,cancer cell line cultures,1
9583357,"A human protein, C-peptide, thought to be a useless byproduct of insulin may protect against devastating heart and nerve damage that diabetes causes.",C-peptide,1
9583357,"A human protein, C-peptide, thought to be a useless byproduct of insulin may protect against devastating heart and nerve damage that diabetes causes.",devastating heart damage,1
31918180,"However, potential effects of ADT treatment on neurocognitive dysfunction remain unclear.",ADT treatment,1
31918180,"However, potential effects of ADT treatment on neurocognitive dysfunction remain unclear.",neurocognitive dysfunction,1
1376106,"Serious suicidal behavior, affective disorders, and a variety of other psychopathologic behaviors and syndromes have been found to correlate with measures of the serotonin system.",suicidal behavior,1
1376106,"Serious suicidal behavior, affective disorders, and a variety of other psychopathologic behaviors and syndromes have been found to correlate with measures of the serotonin system.",serotonin system,1
1376106,"Serious suicidal behavior, affective disorders, and a variety of other psychopathologic behaviors and syndromes have been found to correlate with measures of the serotonin system.",affective disorders,1
21648337,"The aims of this case-control study were to test whether cholesterol levels in male suicidal patients (N=20) with borderline personality disorder (BPD) are lower than in male non-suicidal patients (N=20) with BPD and male healthy control group (N=20), and to evaluate the influence of structured individual psychoanalytic psychotherapy on suicidal behavior.",borderline personality disorder,1
21648337,"The aims of this case-control study were to test whether cholesterol levels in male suicidal patients (N=20) with borderline personality disorder (BPD) are lower than in male non-suicidal patients (N=20) with BPD and male healthy control group (N=20), and to evaluate the influence of structured individual psychoanalytic psychotherapy on suicidal behavior.",BPD,1
21648337,"The aims of this case-control study were to test whether cholesterol levels in male suicidal patients (N=20) with borderline personality disorder (BPD) are lower than in male non-suicidal patients (N=20) with BPD and male healthy control group (N=20), and to evaluate the influence of structured individual psychoanalytic psychotherapy on suicidal behavior.",male non-suicidal patients,1
21648337,"The aims of this case-control study were to test whether cholesterol levels in male suicidal patients (N=20) with borderline personality disorder (BPD) are lower than in male non-suicidal patients (N=20) with BPD and male healthy control group (N=20), and to evaluate the influence of structured individual psychoanalytic psychotherapy on suicidal behavior.",cholesterol levels,1
21648337,"The aims of this case-control study were to test whether cholesterol levels in male suicidal patients (N=20) with borderline personality disorder (BPD) are lower than in male non-suicidal patients (N=20) with BPD and male healthy control group (N=20), and to evaluate the influence of structured individual psychoanalytic psychotherapy on suicidal behavior.",suicidal behavior,1
15655528,"Where known, the mode of action in cardiovascular disease is from antagonism of endogenous catecholamine responses in the heart (mainly at beta1-adrenoceptors), while the worrisome side effects of bronchospasm result from airway beta2-adrenoceptor blockade.",bronchospasm,1
15655528,"Where known, the mode of action in cardiovascular disease is from antagonism of endogenous catecholamine responses in the heart (mainly at beta1-adrenoceptors), while the worrisome side effects of bronchospasm result from airway beta2-adrenoceptor blockade.",airway beta2-adrenoceptor blockade,1
15655528,"Where known, the mode of action in cardiovascular disease is from antagonism of endogenous catecholamine responses in the heart (mainly at beta1-adrenoceptors), while the worrisome side effects of bronchospasm result from airway beta2-adrenoceptor blockade.",cardiovascular disease,1
15655528,"Where known, the mode of action in cardiovascular disease is from antagonism of endogenous catecholamine responses in the heart (mainly at beta1-adrenoceptors), while the worrisome side effects of bronchospasm result from airway beta2-adrenoceptor blockade.",endogenous catecholamine responses,1
7871108,"Six months after the disclosure of the test results, both gene carriers and noncarriers reported a significant decrease in unwanted intrusive thoughts about HD.",gene carriers,1
7871108,"Six months after the disclosure of the test results, both gene carriers and noncarriers reported a significant decrease in unwanted intrusive thoughts about HD.",unwanted intrusive thoughts,1
8861189,Zinc supplementation or cisapride could be a therapeutic option in addition to psychological and other approaches in anorexia nervosa.,cisapride,1
8861189,Zinc supplementation or cisapride could be a therapeutic option in addition to psychological and other approaches in anorexia nervosa.,anorexia nervosa,1
8861189,Zinc supplementation or cisapride could be a therapeutic option in addition to psychological and other approaches in anorexia nervosa.,Zinc supplementation,1
34606437,"Solriamfetol, a dopamine/norepinephrine reuptake inhibitor, is approved in the United States and European Union for excessive daytime sleepiness in adults with narcolepsy (75-150 mg/day) or obstructive sleep apnea (OSA; 37.5-150 mg/day).",dopamine/norepinephrine reuptake inhibitor,1
34606437,"Solriamfetol, a dopamine/norepinephrine reuptake inhibitor, is approved in the United States and European Union for excessive daytime sleepiness in adults with narcolepsy (75-150 mg/day) or obstructive sleep apnea (OSA; 37.5-150 mg/day).",obstructive sleep apnea,1
34606437,"Solriamfetol, a dopamine/norepinephrine reuptake inhibitor, is approved in the United States and European Union for excessive daytime sleepiness in adults with narcolepsy (75-150 mg/day) or obstructive sleep apnea (OSA; 37.5-150 mg/day).",OSA,1
34606437,"Solriamfetol, a dopamine/norepinephrine reuptake inhibitor, is approved in the United States and European Union for excessive daytime sleepiness in adults with narcolepsy (75-150 mg/day) or obstructive sleep apnea (OSA; 37.5-150 mg/day).",narcolepsy,1
34606437,"Solriamfetol, a dopamine/norepinephrine reuptake inhibitor, is approved in the United States and European Union for excessive daytime sleepiness in adults with narcolepsy (75-150 mg/day) or obstructive sleep apnea (OSA; 37.5-150 mg/day).",excessive daytime sleepiness,1
34606437,"Solriamfetol, a dopamine/norepinephrine reuptake inhibitor, is approved in the United States and European Union for excessive daytime sleepiness in adults with narcolepsy (75-150 mg/day) or obstructive sleep apnea (OSA; 37.5-150 mg/day).",Solriamfetol,1
19010975,"Results demonstrate that inhibition of 5-HT and noradrenaline reuptake by duloxetine markedly reduces food intake, suggesting that this may be a novel approach for the treatment of obesity.",duloxetine,1
19010975,"Results demonstrate that inhibition of 5-HT and noradrenaline reuptake by duloxetine markedly reduces food intake, suggesting that this may be a novel approach for the treatment of obesity.",5-HT reuptake,1
19010975,"Results demonstrate that inhibition of 5-HT and noradrenaline reuptake by duloxetine markedly reduces food intake, suggesting that this may be a novel approach for the treatment of obesity.",noradrenaline,1
34720995,"After adjustment for all covariates, higher UA had a dose-response association with a lower risk of MCI (all P for  trend Conclusions: High blood UA level is associated with reduced risks of MCI among Chinese older adults, highlighting the potential of managing UA in daily life for maintaining late-life cognition.",High blood UA level,0
34720995,"After adjustment for all covariates, higher UA had a dose-response association with a lower risk of MCI (all P for  trend Conclusions: High blood UA level is associated with reduced risks of MCI among Chinese older adults, highlighting the potential of managing UA in daily life for maintaining late-life cognition.",MCI,1
25843346,"The results showed that (1) occluding the left carotid artery of Mongolian gerbils not only decreased the cortex specific gravity (cortex edema) but also increased AVP levels in the ipsilateral cortex (ischemic area) including left prefrontal lobe, left parietal lobe, left temporal lobe, left occipital lobe and left hippocampus for the first 6 hours, and did not change of the cortex specific gravity and AVP concentration in the right cortex (non-ischemic area); (2) there were many negative relationships between the specific gravity and AVP levels in the ischemic cortex; (3) intranasal AVP (50 ng or 200 ng), which could pass through the blood-brain barrier to the brain, aggravated the focal cortex edema, whereas intranasal AVP receptor antagonist-D(CH2)5Tyr(ET)DAVP (2 µg) mitigated the cortex edema in the ischemic area after occluding the left carotid artery of Mongolian gerbils; and (4) either intranasal AVP or AVP receptor antagonist did not evoke that edema in the non-ischemic cortex.",intranasal AVP receptor antagonist-D(CH2)5Tyr(ET)DAVP,1
25843346,"The results showed that (1) occluding the left carotid artery of Mongolian gerbils not only decreased the cortex specific gravity (cortex edema) but also increased AVP levels in the ipsilateral cortex (ischemic area) including left prefrontal lobe, left parietal lobe, left temporal lobe, left occipital lobe and left hippocampus for the first 6 hours, and did not change of the cortex specific gravity and AVP concentration in the right cortex (non-ischemic area); (2) there were many negative relationships between the specific gravity and AVP levels in the ischemic cortex; (3) intranasal AVP (50 ng or 200 ng), which could pass through the blood-brain barrier to the brain, aggravated the focal cortex edema, whereas intranasal AVP receptor antagonist-D(CH2)5Tyr(ET)DAVP (2 µg) mitigated the cortex edema in the ischemic area after occluding the left carotid artery of Mongolian gerbils; and (4) either intranasal AVP or AVP receptor antagonist did not evoke that edema in the non-ischemic cortex.",cortex edema,1
25843346,"The results showed that (1) occluding the left carotid artery of Mongolian gerbils not only decreased the cortex specific gravity (cortex edema) but also increased AVP levels in the ipsilateral cortex (ischemic area) including left prefrontal lobe, left parietal lobe, left temporal lobe, left occipital lobe and left hippocampus for the first 6 hours, and did not change of the cortex specific gravity and AVP concentration in the right cortex (non-ischemic area); (2) there were many negative relationships between the specific gravity and AVP levels in the ischemic cortex; (3) intranasal AVP (50 ng or 200 ng), which could pass through the blood-brain barrier to the brain, aggravated the focal cortex edema, whereas intranasal AVP receptor antagonist-D(CH2)5Tyr(ET)DAVP (2 µg) mitigated the cortex edema in the ischemic area after occluding the left carotid artery of Mongolian gerbils; and (4) either intranasal AVP or AVP receptor antagonist did not evoke that edema in the non-ischemic cortex.",AVP levels,1
25843346,"The results showed that (1) occluding the left carotid artery of Mongolian gerbils not only decreased the cortex specific gravity (cortex edema) but also increased AVP levels in the ipsilateral cortex (ischemic area) including left prefrontal lobe, left parietal lobe, left temporal lobe, left occipital lobe and left hippocampus for the first 6 hours, and did not change of the cortex specific gravity and AVP concentration in the right cortex (non-ischemic area); (2) there were many negative relationships between the specific gravity and AVP levels in the ischemic cortex; (3) intranasal AVP (50 ng or 200 ng), which could pass through the blood-brain barrier to the brain, aggravated the focal cortex edema, whereas intranasal AVP receptor antagonist-D(CH2)5Tyr(ET)DAVP (2 µg) mitigated the cortex edema in the ischemic area after occluding the left carotid artery of Mongolian gerbils; and (4) either intranasal AVP or AVP receptor antagonist did not evoke that edema in the non-ischemic cortex.",focal cortex edema,1
25843346,"The results showed that (1) occluding the left carotid artery of Mongolian gerbils not only decreased the cortex specific gravity (cortex edema) but also increased AVP levels in the ipsilateral cortex (ischemic area) including left prefrontal lobe, left parietal lobe, left temporal lobe, left occipital lobe and left hippocampus for the first 6 hours, and did not change of the cortex specific gravity and AVP concentration in the right cortex (non-ischemic area); (2) there were many negative relationships between the specific gravity and AVP levels in the ischemic cortex; (3) intranasal AVP (50 ng or 200 ng), which could pass through the blood-brain barrier to the brain, aggravated the focal cortex edema, whereas intranasal AVP receptor antagonist-D(CH2)5Tyr(ET)DAVP (2 µg) mitigated the cortex edema in the ischemic area after occluding the left carotid artery of Mongolian gerbils; and (4) either intranasal AVP or AVP receptor antagonist did not evoke that edema in the non-ischemic cortex.",intranasal AVP,1
23331637,Mouse lines selectively bred for high (HAP) or low (LAP) alcohol preference may be a relevant model of genetic risk for co-morbid alcoholism and PTSD in humans.,alcohol preference,1
23331637,Mouse lines selectively bred for high (HAP) or low (LAP) alcohol preference may be a relevant model of genetic risk for co-morbid alcoholism and PTSD in humans.,PTSD,1
